rank,mountain name,heigh m,height ft,loc,prominence,range,parent mountain,first ascent
77,Saraghrar,7349,24111,Pakistan,1979,Hindu Kush,Noshaq,1959
78,Jomolhari ,7326,24035,Bhutan,2065,Jomolhari Himalaya,Gangkhar Puensum,1937
79,Chamlang,7321,24019,Nepal,1241,Mahalangur Himalaya,Lhotse,1961
80,Chongtar,7315,23999,China,1295,Baltoro Karakoram,Skil Brum,1994
81,Baltoro Kangri,7312,23990,Pakistan,1200,Masherbrum Karakoram,Chogolisa,1976
82,Siguang Ri,7309,23980,China,669,Mahalangur Himalaya,Cho Oyu,1989
83,The Crown ,7295,23934,China,1919,Yengisogat Karakoram,Skil Brum (K2),1993
84,Gyala Peri,7294,23930,China,2942,Assam Himalaya,Mount Everest,1986
85,Porong Ri,7292,23924,China,512,Langtang Himalaya,Shisha Pangma,1982
86,Baintha Brakk ,7285,23901,Pakistan,1891,Panmah Karakoram,Kanjut Sar,1977
87,Yutmaru Sar,7283,23894,Pakistan,680,Hispar Karakoram,Yukshin Gardan Sar,1980
88,Baltistan Peak ,7282,23891,Pakistan,1962,Masherbrum Karakoram,Chogolisa,1970
89,Kangpenqing ,7281,23888,China,1345,Baiku Himalaya,Shisha Pangma,1982
90,Muztagh Tower,7276,23871,Pakistan,1710,Baltoro Karakoram,Skil Brum,1956
91,Mana Peak,7272,23858,India,732,Garhwal Himalaya,Kamet,1937
,Dhaulagiri VI,7268,23845,Nepal,488,Dhaulagiri Himalaya,Dhaulagiri IV,1970
92,Diran,7266,23839,Pakistan,1329,Rakaposhi-Haramosh Karakoram,Malubiting,1968
93,Labuche Kang III ,7250,23786,China,570,Labuche Himalaya,Labuche Kang,0
94,Putha Hiunchuli,7246,23773,Nepal,1151,Dhaulagiri Himalaya,Churen Himal,1954
95,Apsarasas Kangri,7245,23770,India,607,Siachen Karakoram,Teram Kangri I,1976
96,Mukut Parbat,7242,23760,India,683,Garhwal Himalaya,Kamet,1951
97,Rimo III,7233,23730,India,613,Rimo Karakoram,Rimo I,1985
98,Langtang Lirung,7227,23711,Nepal,1534,Langtang Himalaya,Shisha Pangma,1978
99,Karjiang,7221,23691,China,895,Kula Kangri Himalaya,Kula Kangri,0
100,Annapurna Dakshin,7219,23684,Nepal,769,Annapurna Himalaya,Annapurna,1964
101,Khartaphu,7213,23665,China,712,Mahalangur Himalaya,Mount Everest,1935
102,Tongshanjiabu,7207,23645,Bhutan ,1757,Lunana Himalaya,Gangkar Puensum,0
103,Malangutti Sar,7207,23645,Pakistan,507,Hispar Karakoram,Distaghil Sar,1985
104,Noijin Kangsang ,7206,23642,China,2160,Nagarze Himalaya,Gangkar Puensum,1986
105,Langtang Ri,7205,23638,Nepal,665,Langtang Himalaya,Shisha Pangma,1981
106,Kangphu Kang,7204,23635,Bhutan,1244,Lunana Himalaya,Tongshanjiabu,2002
107,Singhi Kangri,7202,23629,India ,730,Siachen Karakoram,Teram Kangri III,1976
108,Lupghar Sar,7200,23622,Pakistan,730,Hispar Karakoram,Momhil Sar,1979
